Clone,Score
Fab79,0.9164741667198437
Fab37,0.8994623655913979
Fab90,0.8733463736523119
Fab65,0.8628740814997636
Fab47,0.8626108564343561
Fab44,0.8626108564343561
Fab04,0.8626108564343561
Fab21,0.8607682809765042
Fab59,0.8507657284910216
Fab19,0.8507338224224873
Fab34,0.85047059735708
Fab76,0.8441531957873014
Fab75,0.8438899707218939
Fab63,0.8436267456564864
Fab78,0.8436267456564864
Fab77,0.8436267456564864
Fab03,0.8436267456564864
Fab09,0.8436267456564864
Fab26,0.8417841701986344
Fab27,0.8415528512017612
Fab39,0.8344138683672259
Fab64,0.8326031989779082
Fab08,0.8326031989779082
Fab55,0.8326031989779082
Fab11,0.8326031989779082
Fab58,0.8324234614584985
Fab81,0.8304973984546488
Fab16,0.8304973984546488
Fab15,0.8304973984546488
Fab51,0.8260225723427221
Fab43,0.8260225723427221
Fab57,0.8233903216886478
Fab80,0.8201645152370348
Fab85,0.8201645152370348
Fab68,0.8201645152370348
Fab46,0.8201645152370348
Fab01,0.8201645152370348
Fab69,0.8180587147137752
Fab72,0.8158525129974346
Fab45,0.8147873820762003
Fab17,0.8147873820762003
Fab06,0.8147873820762003
Fab36,0.8143683661965841
Fab31,0.8139142193339798
Fab48,0.8136190882000383
Fab50,0.8124183564875332
Fab61,0.8067752364994446
Fab56,0.8067752364994446
Fab05,0.8067752364994446
Fab88,0.7957516898208665
Fab42,0.7957516898208665
Fab84,0.7767675790429968
Fab32,0.7767675790429968
Fab67,0.7755668473304917
Fab28,0.7680811518845512
Fab40,0.7622230947788637
Fab41,0.7588161613500181
Fab74,0.7565231785580239
Fab20,0.7399160698859549
Fab25,0.7399160698859549
Fab86,0.7399160698859549
Fab12,0.7399160698859549
Fab70,0.7356999916975608
Fab91,0.7343415650990154
Fab22,0.7295386382489948
Fab62,0.7164741667198437
Fab33,0.7140768373607026
Fab52,0.7098935400846575
Fab82,0.70963031501925
Fab73,0.70963031501925
Fab02,0.70963031501925
Fab30,0.6825191796641012
Fab24,0.6806519541952363
Fab07,0.6756753279635076
Fab23,0.6400841085135682
Fab83,0.6388238188064658
Fab60,0.625813244517817
Fab10,0.6032325993565266
Fab89,0.5987577732446001
Fab54,0.5161290322580646
Fab87,0.4994623655913979
Fab49,0.43049739845464874
Fab66,0.42937739252629525
Fab14,0.42258064516129046
Fab71,0.4201645152370348
Fab35,0.41374671247417505
Fab18,0.40515548890732356
Fab92,0.40317870211602425
Fab29,0.3864449983978354
Fab38,0.27676078613808264
Fab13,0.22139512886964002
Fab53,0.18983205057214797
