Molecule,Conformers_Generated,Average_RMS,Max_RMS,Rotatable_Bonds,Flexibility_Score
NOTA_Chelator,50,1.7436442770098424,2.2874829809401835,9,15.692798493088581
Linker_Chelator,50,2.5276850694964867,4.091781084109854,9,22.74916562546838
